category,name,winner,award,href,year,film,fti_id
Actor,Denzel Washington,1,Oscar,/wiki/Training_Day,2001,Training Day,206
Actor,Russell Crowe,0,Oscar,/wiki/A_Beautiful_Mind_(film),2001,A Beautiful Mind,207
Actor,Sean Penn,0,Oscar,/wiki/I_Am_Sam,2001,I Am Sam,208
Actor,Will Smith,0,Oscar,/wiki/Ali_(film),2001,Ali,209
Actor,Tom Wilkinson,0,Oscar,/wiki/In_the_Bedroom,2001,In the Bedroom,210
Actor,Adrien Brody,1,Oscar,/wiki/The_Pianist_(2002_film),2002,The Pianist,211
Actor,Nicolas Cage,0,Oscar,/wiki/Adaptation_(film),2002,Adaptation,212
Actor,Michael Caine,0,Oscar,/wiki/The_Quiet_American_(2002_film),2002,The Quiet American,213
Actor,Daniel Day-Lewis,0,Oscar,/wiki/Gangs_of_New_York,2002,Gangs of New York,214
Actor,Jack Nicholson,0,Oscar,/wiki/About_Schmidt,2002,About Schmidt,215
Actor,Sean Penn,1,Oscar,/wiki/Mystic_River_(film),2003,Mystic River,216
Actor,Johnny Depp,0,Oscar,/wiki/Pirates_of_the_Caribbean:_The_Curse_of_the_Black_Pearl,2003,Pirates of the Caribbean: The Curse of the Black Pearl,217
Actor,Ben Kingsley,0,Oscar,/wiki/House_of_Sand_and_Fog_(film),2003,House of Sand and Fog,218
Actor,Jude Law,0,Oscar,/wiki/Cold_Mountain_(film),2003,Cold Mountain,219
Actor,Bill Murray,0,Oscar,/wiki/Lost_in_Translation_(film),2003,Lost in Translation,220
Actor,Jamie Foxx,1,Oscar,/wiki/Ray_(film),2004,Ray,221
Actor,Don Cheadle,0,Oscar,/wiki/Hotel_Rwanda,2004,Hotel Rwanda,222
Actor,Johnny Depp,0,Oscar,/wiki/Finding_Neverland_(film),2004,Finding Neverland,223
Actor,Leonardo DiCaprio,0,Oscar,/wiki/The_Aviator_(2004_film),2004,The Aviator,224
Actor,Clint Eastwood,0,Oscar,/wiki/Million_Dollar_Baby,2004,Million Dollar Baby,225
Actor,Philip Seymour Hoffman,1,Oscar,/wiki/Capote_(film),2005,Capote,226
Actor,Terrence Howard,0,Oscar,/wiki/Hustle_%26_Flow,2005,Hustle & Flow,227
Actor,Heath Ledger,0,Oscar,/wiki/Brokeback_Mountain,2005,Brokeback Mountain,228
Actor,Joaquin Phoenix,0,Oscar,/wiki/Walk_the_Line,2005,Walk the Line,229
Actor,David Strathairn,0,Oscar,"/wiki/Good_Night,_and_Good_Luck",2005,"Good Night, and Good Luck",230
Actor,Forest Whitaker,1,Oscar,/wiki/The_Last_King_of_Scotland_(film),2006,The Last King of Scotland,231
Actor,Leonardo DiCaprio,0,Oscar,/wiki/Blood_Diamond,2006,Blood Diamond,232
Actor,Ryan Gosling,0,Oscar,/wiki/Half_Nelson_(film),2006,Half Nelson,233
