year,category,film,name,BAFTA,Golden Globe,Guild,Oscar,running_time,box_office,imdb_score,rt_audience_score,rt_critic_score,stars_count,writers_count,produced_USA,R,PG,PG13,G,q1_release,q2_release,q3_release,q4_release
1999,Actor,The Straight Story,Richard Farnsworth,0.0,0.0,0.0,0.0,112,6203044.0,8.0,91.0,96.0,3.0,1.0,1,0,0,0,1,0,0,0,1
1999,Actor,Sweet and Lowdown,Sean Penn,0.0,0.0,0.0,0.0,95,4197015.0,7.3,81.0,78.0,8.0,1.0,1,0,0,1,0,1,0,0,0
1999,Actor,The Hurricane,Denzel Washington,0.0,1.0,0.0,0.0,145,74000000.0,7.6,87.0,83.0,4.0,1.0,1,1,0,0,0,1,0,0,0
2000,Actor,Gladiator,Russell Crowe,0.0,0.0,0.0,1.0,155,457600000.0,8.5,87.0,76.0,7.0,3.0,0,1,0,0,0,0,1,0,0
2000,Actor,Before Night Falls,Javier Bardem,0.0,0.0,0.0,0.0,133,8527517.0,7.3,84.0,73.0,4.0,1.0,1,1,0,0,0,1,0,0,0
2000,Actor,Cast Away,Tom Hanks,0.0,1.0,0.0,0.0,143,429600000.0,7.7,83.0,90.0,2.0,1.0,1,0,0,1,0,0,0,0,1
2000,Actor,Pollock,Ed Harris,0.0,0.0,0.0,0.0,122,10558970.0,7.0,74.0,81.0,1.0,1.0,1,1,0,0,0,1,0,0,0
2000,Actor,Quills,Geoffrey Rush,0.0,0.0,0.0,0.0,124,18000000.0,7.4,83.0,75.0,4.0,1.0,1,1,0,0,0,0,0,0,1
2001,Actor,Training Day,Denzel Washington,0.0,0.0,0.0,1.0,122,104500000.0,7.7,89.0,72.0,6.0,1.0,1,1,0,0,0,0,0,0,1
2001,Actor,A Beautiful Mind,Russell Crowe,1.0,1.0,1.0,0.0,135,313000000.0,8.2,93.0,75.0,1.0,1.0,1,0,0,1,0,1,0,0,0
2001,Actor,I Am Sam,Sean Penn,0.0,0.0,0.0,0.0,134,97818139.0,7.6,87.0,34.0,7.0,1.0,1,0,0,1,0,1,0,0,0
2001,Actor,Ali,Will Smith,0.0,0.0,0.0,0.0,157,87700000.0,6.8,65.0,67.0,8.0,1.0,1,1,0,0,0,0,0,0,1
2001,Actor,In the Bedroom,Tom Wilkinson,0.0,0.0,0.0,0.0,131,43400000.0,7.5,81.0,93.0,4.0,1.0,1,1,0,0,0,1,0,0,0
2002,Actor,The Pianist,Adrien Brody,0.0,0.0,0.0,1.0,150,120100000.0,8.5,95.0,96.0,6.0,1.0,0,1,0,0,0,1,0,0,0
2002,Actor,Adaptation,Nicolas Cage,0.0,0.0,0.0,0.0,114,32800000.0,7.7,85.0,91.0,3.0,1.0,1,1,0,0,0,1,0,0,0
2002,Actor,The Quiet American,Michael Caine,0.0,0.0,0.0,0.0,101,27674124.0,7.1,73.0,87.0,3.0,1.0,0,1,0,0,0,1,0,0,0
2002,Actor,Gangs of New York,Daniel Day-Lewis,1.0,0.0,1.0,0.0,168,193700000.0,7.5,81.0,75.0,7.0,3.0,1,1,0,0,0,0,0,0,1
2002,Actor,About Schmidt,Jack Nicholson,0.0,1.0,0.0,0.0,124,105834556.0,7.2,74.0,85.0,4.0,1.0,1,1,0,0,0,1,0,0,0
2003,Actor,Mystic River,Sean Penn,0.0,1.0,0.0,1.0,137,156800000.0,8.0,89.0,87.0,6.0,1.0,1,1,0,0,0,0,0,0,1
2003,Actor,Pirates of the Caribbean: The Curse of the Black Pearl,Johnny Depp,0.0,0.0,1.0,0.0,143,654300000.0,8.0,86.0,79.0,7.0,2.0,1,0,0,1,0,0,0,1,0
2003,Actor,House of Sand and Fog,Ben Kingsley,0.0,0.0,0.0,0.0,124,16942795.0,7.6,83.0,74.0,3.0,1.0,1,1,0,0,0,1,0,0,0
2003,Actor,Cold Mountain,Jude Law,0.0,0.0,0.0,0.0,154,173000000.0,7.2,77.0,71.0,3.0,1.0,1,1,0,0,0,0,0,0,1
2003,Actor,Lost in Translation,Bill Murray,1.0,1.0,0.0,0.0,101,119700000.0,7.8,86.0,95.0,5.0,1.0,1,1,0,0,0,0,0,0,1
2004,Actor,Ray,Jamie Foxx,1.0,1.0,1.0,1.0,152,124700000.0,7.7,87.0,81.0,8.0,1.0,1,0,0,1,0,0,0,0,1
